Group,ID,List,Target,RT,RT_log,Relation_type,Branching,accuracy
L2,L2_19,B,unmovable,1211,7.0992,Constituent,Right,correct
L2,L2_19,B,ungraceful,966,6.8732,Constituent,Right,correct
L2,L2_19,B,unripeness,777,6.6554,Constituent,Left,incorrect
L2,L2_19,B,unresentful,1051,6.9575,Unrelated,Right,incorrect
L2,L2_19,B,unthankful,1244,7.1261,Unrelated,Right,correct
L2,L2_19,B,unsharpness,1158,7.0544,NonConstituent,Left,correct
L2,L2_19,B,uncleverness,1278,7.1531,Unrelated,Left,incorrect
L2,L2_19,B,resellable,918,6.8222,NonConstituent,Left,incorrect
L2,L2_19,B,recomputable,1340,7.2004,Constituent,Left,incorrect
L2,L2_19,B,reclosable,807,6.6933,Unrelated,Left,incorrect
L2,L2_19,B,reobtainable,1907,7.5533,Unrelated,Left,correct
L2,L2_19,B,undeniable,1071,6.9763,Unrelated,Right,correct
L2,L2_20,C,resealable,1710,7.4442,NonConstituent,Left,correct
L2,L2_20,C,unresentful,1898,7.5486,Unrelated,Right,incorrect
L2,L2_20,C,unmovable,1037,6.9441,Constituent,Right,correct
L2,L2_20,C,unreadable,932,6.8373,Unrelated,Right,correct
L2,L2_20,C,unhappiness,986,6.8937,NonConstituent,Left,correct
L2,L2_20,C,recomputable,1629,7.3957,NonConstituent,Left,incorrect
L2,L2_20,C,reobtainable,1984,7.5929,Constituent,Left,correct
L2,L2_20,C,unwariness,0,NA,Constituent,Left,incorrect
L2,L2_20,C,untruthful,973,6.8804,Constituent,Right,correct
L2,L2_20,C,unbreakable,694,6.5425,Constituent,Right,correct
L2,L2_20,C,rehydratable,867,6.765,Unrelated,Left,incorrect
L2,L2_20,C,reusable,945,6.8512,Constituent,Left,correct
L2,L2_20,C,uneventful,1316,7.1824,Unrelated,Right,incorrect
L2,L2_20,C,resellable,1774,7.481,Unrelated,Left,correct
L2,L2_20,C,unsharpness,0,NA,Unrelated,Left,incorrect
L2,L2_20,C,untouchable,724,6.5848,Constituent,Right,correct
L2,L2_20,C,unskillful,692,6.5396,Constituent,Right,correct
L2,L2_20,C,ungraceful,694,6.5425,Constituent,Right,correct
L2,L2_20,C,unawareness,1150,7.0475,NonConstituent,Left,correct
L2,L2_20,C,unclearness,1628,7.3951,Unrelated,Left,incorrect
L2,L2_20,C,unthankful,1685,7.4295,Unrelated,Right,correct
L2,L2_20,C,unkindness,730,6.593,Constituent,Left,correct
L2,L2_20,C,uncleverness,1813,7.5027,Constituent,Left,correct
L2,L2_20,C,unavoidable,1017,6.9246,Unrelated,Right,correct
L2,L2_20,C,unripeness,1022,6.9295,NonConstituent,Left,incorrect
L2,L2_20,C,reclosable,1257,7.1365,Constituent,Left,incorrect
L2,L2_20,C,unholiness,954,6.8607,Unrelated,Left,incorrect
L2,L2_20,C,undeniable,914,6.8178,Unrelated,Right,correct
L2,L2_20,C,reattachable,1530,7.333,Unrelated,Left,correct
L2,L2_20,C,readjustable,1421,7.2591,NonConstituent,Left,correct
L2,L2_21,D,unreadable,0,NA,Constituent,Right,incorrect
L2,L2_21,D,reclosable,1465,7.2896,NonConstituent,Left,correct
L2,L2_21,D,reobtainable,1336,7.1974,NonConstituent,Left,incorrect
L2,L2_21,D,unthankful,1797,7.4939,Constituent,Right,incorrect
L2,L2_21,D,ungraceful,1226,7.1115,Unrelated,Right,incorrect
L2,L2_21,D,unclearness,1728,7.4547,Constituent,Left,incorrect
L2,L2_21,D,unawareness,1365,7.2189,Unrelated,Left,incorrect
L2,L2_21,D,unripeness,0,NA,Unrelated,Left,incorrect
L2,L2_21,D,unbreakable,1115,7.0166,Unrelated,Right,correct
L2,L2_21,D,resealable,1612,7.3852,Unrelated,Left,correct
L2,L2_21,D,readjustable,1760,7.4731,Unrelated,Left,correct
L2,L2_21,D,unskillful,1172,7.0665,Unrelated,Right,correct
L2,L2_21,D,uncleverness,1217,7.1041,NonConstituent,Left,incorrect
L2,L2_21,D,rehydratable,0,NA,Constituent,Left,incorrect
L2,L2_21,D,recomputable,1812,7.5022,Unrelated,Left,correct
L2,L2_21,D,unholiness,963,6.8701,Constituent,Left,correct
L2,L2_21,D,untouchable,1296,7.167,Unrelated,Right,correct
L2,L2_21,D,resellable,0,NA,Constituent,Left,incorrect
L2,L2_21,D,reusable,1224,7.1099,NonConstituent,Left,correct
L2,L2_21,D,unavoidable,1120,7.0211,Constituent,Right,correct
L2,L2_21,D,uneventful,1070,6.9754,Constituent,Right,incorrect
L2,L2_21,D,unresentful,1330,7.1929,Constituent,Right,correct
L2,L2_21,D,unsharpness,1160,7.0562,Constituent,Left,correct
L2,L2_21,D,unkindness,835,6.7274,NonConstituent,Left,incorrect
L2,L2_21,D,unmovable,1739,7.4611,Unrelated,Right,correct
L2,L2_21,D,untruthful,872,6.7708,Unrelated,Right,correct
L2,L2_21,D,unwariness,1123,7.0238,NonConstituent,Left,incorrect
L2,L2_21,D,reattachable,1309,7.177,Constituent,Left,correct
L2,L2_21,D,unhappiness,1028,6.9354,Unrelated,Left,correct
L2,L2_21,D,undeniable,841,6.7346,Constituent,Right,correct
L2,L2_22,E,unthankful,870,6.7685,Constituent,Right,correct
L2,L2_22,E,unripeness,1994,7.5979,Constituent,Left,incorrect
L2,L2_22,E,ungraceful,840,6.7334,Unrelated,Right,correct
L2,L2_22,E,untruthful,862,6.7593,Unrelated,Right,correct
L2,L2_22,E,unresentful,1424,7.2612,Constituent,Right,correct
L2,L2_22,E,unmovable,1070,6.9754,Unrelated,Right,incorrect
L2,L2_22,E,uncleverness,1705,7.4413,Unrelated,Left,incorrect
L2,L2_22,E,unholiness,1386,7.2342,NonConstituent,Left,correct
L2,L2_22,E,unreadable,945,6.8512,Constituent,Right,correct
L2,L2_22,E,reusable,1391,7.2378,Unrelated,Left,correct
L2,L2_22,E,unwariness,1359,7.2145,Unrelated,Left,incorrect
L2,L2_22,E,reobtainable,1649,7.4079,Unrelated,Left,correct
L2,L2_22,E,resellable,918,6.8222,NonConstituent,Left,incorrect
L2,L2_22,E,undeniable,948,6.8544,Constituent,Right,correct
L2,L2_22,E,rehydratable,954,6.8607,NonConstituent,Left,correct
L2,L2_22,E,unhappiness,943,6.8491,Constituent,Left,correct
L2,L2_22,E,uneventful,774,6.6516,Constituent,Right,correct
L2,L2_22,E,reattachable,1216,7.1033,NonConstituent,Left,correct
L2,L2_22,E,unawareness,1422,7.2598,Constituent,Left,correct
L2,L2_22,E,readjustable,990,6.8977,Constituent,Left,correct
L2,L2_22,E,unkindness,1027,6.9344,Unrelated,Left,correct
L2,L2_22,E,resealable,1067,6.9726,Constituent,Left,correct
L2,L2_22,E,unavoidable,697,6.5468,Constituent,Right,correct
L2,L2_22,E,untouchable,779,6.658,Unrelated,Right,correct
L2,L2_22,E,unskillful,724,6.5848,Unrelated,Right,correct
L2,L2_22,E,unbreakable,701,6.5525,Unrelated,Right,correct
L2,L2_22,E,recomputable,696,6.5453,Constituent,Left,correct
L2,L2_22,E,unclearness,729,6.5917,NonConstituent,Left,correct
L2,L2_22,E,unsharpness,1719,7.4495,NonConstituent,Left,incorrect
L2,L2_22,E,reclosable,1723,7.4518,Unrelated,Left,incorrect
L2,L2_23,F,unkindness,1618,7.3889,Constituent,Left,correct
L2,L2_23,F,untouchable,1182,7.075,Unrelated,Right,correct
L2,L2_23,F,reusable,1175,7.069,Constituent,Left,correct
L2,L2_23,F,reattachable,1498,7.3119,Unrelated,Left,correct
L2,L2_23,F,unsharpness,1126,7.0264,Unrelated,Left,correct
L2,L2_23,F,reclosable,1339,7.1997,Constituent,Left,correct
L2,L2_23,F,unreadable,988,6.8957,Constituent,Right,correct
L2,L2_23,F,readjustable,1012,6.9197,NonConstituent,Left,correct
L2,L2_23,F,untruthful,724,6.5848,Unrelated,Right,correct
L2,L2_23,F,resealable,897,6.7991,NonConstituent,Left,correct
L2,L2_23,F,unholiness,678,6.5191,Unrelated,Left,incorrect
L2,L2_23,F,unbreakable,939,6.8448,Unrelated,Right,correct
L2,L2_23,F,unthankful,940,6.8459,Constituent,Right,correct
L2,L2_23,F,unavoidable,691,6.5381,Constituent,Right,correct
L2,L2_23,F,unripeness,967,6.8742,NonConstituent,Left,correct
L2,L2_23,F,unskillful,938,6.8437,Unrelated,Right,correct
L2,L2_23,F,unclearness,833,6.725,Unrelated,Left,correct
L2,L2_23,F,undeniable,884,6.7845,Constituent,Right,correct
L2,L2_23,F,unawareness,699,6.5497,NonConstituent,Left,correct
L2,L2_23,F,rehydratable,750,6.6201,Unrelated,Left,incorrect
L2,L2_23,F,unwariness,864,6.7616,Constituent,Left,incorrect
L2,L2_23,F,uncleverness,853,6.7488,Constituent,Left,correct
L2,L2_23,F,uneventful,852,6.7476,Constituent,Right,correct
L2,L2_23,F,unmovable,1164,7.0596,Unrelated,Right,correct
L2,L2_23,F,recomputable,1460,7.2862,NonConstituent,Left,correct
L2,L2_23,F,ungraceful,788,6.6695,Unrelated,Right,correct
L2,L2_23,F,unhappiness,1026,6.9334,NonConstituent,Left,correct
L2,L2_23,F,unresentful,1453,7.2814,Constituent,Right,incorrect
L2,L2_23,F,resellable,1043,6.9499,Unrelated,Left,correct
L2,L2_23,F,reobtainable,866,6.7639,Constituent,Left,correct
L2,L2_24,A,untouchable,891,6.7923,Constituent,Right,correct
L2,L2_24,A,unsharpness,0,NA,Constituent,Left,incorrect
L2,L2_24,A,unresentful,1254,7.1341,Unrelated,Right,correct
L2,L2_24,A,resealable,1058,6.9641,Unrelated,Left,correct
L2,L2_24,A,uneventful,830,6.7214,Unrelated,Right,correct
L2,L2_24,A,reobtainable,1351,7.2086,NonConstituent,Left,correct
L2,L2_24,A,unripeness,1415,7.2549,Unrelated,Left,incorrect
L2,L2_24,A,unawareness,707,6.561,Unrelated,Left,correct
L2,L2_24,A,unmovable,1040,6.947,Constituent,Right,correct
L2,L2_24,A,unwariness,1114,7.0157,NonConstituent,Left,correct
L2,L2_24,A,ungraceful,671,6.5088,Constituent,Right,correct
L2,L2_24,A,unthankful,844,6.7382,Unrelated,Right,correct
L2,L2_24,A,reattachable,743,6.6107,Constituent,Left,correct
L2,L2_24,A,unholiness,940,6.8459,Constituent,Left,incorrect
L2,L2_24,A,unclearness,746,6.6147,Constituent,Left,correct
L2,L2_24,A,unbreakable,898,6.8002,Constituent,Right,correct
L2,L2_24,A,rehydratable,1327,7.1907,Constituent,Left,correct
L2,L2_24,A,unkindness,886,6.7867,NonConstituent,Left,correct
L2,L2_24,A,unhappiness,697,6.5468,Unrelated,Left,correct
L2,L2_24,A,unreadable,965,6.8721,Unrelated,Right,correct
L2,L2_24,A,readjustable,880,6.7799,Unrelated,Left,correct
L2,L2_24,A,unskillful,1003,6.9108,Constituent,Right,correct
L2,L2_24,A,reusable,574,6.3526,NonConstituent,Left,correct
L2,L2_24,A,resellable,1429,7.2647,Constituent,Left,correct
L2,L2_24,A,unavoidable,1066,6.9717,Unrelated,Right,correct
L2,L2_24,A,reclosable,1719,7.4495,NonConstituent,Left,incorrect
L2,L2_24,A,recomputable,1335,7.1967,Unrelated,Left,correct
L2,L2_24,A,uncleverness,1351,7.2086,NonConstituent,Left,incorrect
L2,L2_24,A,undeniable,918,6.8222,Unrelated,Right,correct
L2,L2_24,A,untruthful,684,6.528,Constituent,Right,correct
L2,L2_25,B,untouchable,850,6.7452,Constituent,Right,correct
L2,L2_25,B,ungraceful,486,6.1862,Constituent,Right,incorrect
L2,L2_25,B,unholiness,501,6.2166,NonConstituent,Left,incorrect
L2,L2_25,B,unreadable,738,6.6039,Unrelated,Right,correct
L2,L2_25,B,unawareness,637,6.4568,Constituent,Left,correct
L2,L2_25,B,uncleverness,727,6.5889,Unrelated,Left,correct
L2,L2_25,B,unavoidable,622,6.4329,Unrelated,Right,correct
L2,L2_25,B,unresentful,815,6.7032,Unrelated,Right,correct
L2,L2_25,B,untruthful,632,6.4489,Constituent,Right,correct
L2,L2_25,B,reobtainable,964,6.8711,Unrelated,Left,incorrect
L2,L2_25,B,reattachable,1258,7.1373,NonConstituent,Left,correct
L2,L2_25,B,unbreakable,726,6.5876,Constituent,Right,correct
L2,L2_25,B,undeniable,784,6.6644,Unrelated,Right,correct
L2,L2_25,B,rehydratable,892,6.7935,NonConstituent,Left,correct
L2,L2_25,B,unwariness,891,6.7923,Unrelated,Left,correct
L2,L2_25,B,uneventful,668,6.5043,Unrelated,Right,correct
L2,L2_25,B,resellable,1059,6.9651,NonConstituent,Left,correct
L2,L2_25,B,unmovable,1317,7.1831,Constituent,Right,correct
L2,L2_25,B,recomputable,1061,6.967,Constituent,Left,correct
L2,L2_25,B,resealable,975,6.8824,Constituent,Left,correct
L2,L2_25,B,readjustable,799,6.6834,Constituent,Left,correct
L2,L2_25,B,unhappiness,884,6.7845,Constituent,Left,correct
L2,L2_25,B,unthankful,975,6.8824,Unrelated,Right,correct
L2,L2_25,B,reusable,818,6.7069,Unrelated,Left,correct
L2,L2_25,B,unkindness,855,6.7511,Unrelated,Left,correct
L2,L2_25,B,reclosable,995,6.9027,Unrelated,Left,correct
L2,L2_25,B,unsharpness,732,6.5958,NonConstituent,Left,correct
L2,L2_25,B,unripeness,1629,7.3957,Constituent,Left,incorrect
L2,L2_25,B,unclearness,560,6.3279,NonConstituent,Left,correct
L2,L2_25,B,unskillful,556,6.3208,Constituent,Right,correct
L2,L2_26,C,uneventful,778,6.6567,Unrelated,Right,correct
L2,L2_26,C,untouchable,815,6.7032,Constituent,Right,correct
L2,L2_26,C,unskillful,1001,6.9088,Constituent,Right,correct
L2,L2_26,C,unavoidable,845,6.7393,Unrelated,Right,correct
L2,L2_26,C,unholiness,1174,7.0682,Unrelated,Left,incorrect
L2,L2_26,C,rehydratable,645,6.4693,Unrelated,Left,incorrect
L2,L2_26,C,unwariness,746,6.6147,Constituent,Left,incorrect
L2,L2_26,C,unsharpness,755,6.6267,Unrelated,Left,correct
L2,L2_26,C,reusable,734,6.5985,Constituent,Left,correct
L2,L2_26,C,reattachable,842,6.7358,Unrelated,Left,incorrect
L2,L2_26,C,untruthful,623,6.4345,Constituent,Right,correct
L2,L2_26,C,resealable,949,6.8554,NonConstituent,Left,correct
L2,L2_26,C,unreadable,545,6.3008,Unrelated,Right,correct
L2,L2_26,C,ungraceful,519,6.2519,Constituent,Right,correct
L2,L2_26,C,recomputable,840,6.7334,NonConstituent,Left,incorrect
L2,L2_26,C,unkindness,790,6.672,Constituent,Left,incorrect
L2,L2_26,C,undeniable,738,6.6039,Unrelated,Right,correct
L2,L2_26,C,unbreakable,481,6.1759,Constituent,Right,correct
L2,L2_26,C,unripeness,679,6.5206,NonConstituent,Left,incorrect
L2,L2_26,C,unclearness,922,6.8265,Unrelated,Left,correct
L2,L2_26,C,unawareness,601,6.3986,NonConstituent,Left,correct
L2,L2_26,C,resellable,865,6.7627,Unrelated,Left,incorrect
L2,L2_26,C,uncleverness,909,6.8123,Constituent,Left,incorrect
L2,L2_26,C,unhappiness,699,6.5497,NonConstituent,Left,correct
L2,L2_26,C,reobtainable,934,6.8395,Constituent,Left,correct
L2,L2_26,C,unmovable,1077,6.9819,Constituent,Right,correct
L2,L2_26,C,unthankful,802,6.6871,Unrelated,Right,correct
L2,L2_26,C,unresentful,873,6.7719,Unrelated,Right,correct
L2,L2_26,C,readjustable,847,6.7417,NonConstituent,Left,correct
L2,L2_26,C,reclosable,824,6.7142,Constituent,Left,incorrect
L2,L2_27,A,unclearness,711,6.5667,Constituent,Left,correct
L2,L2_27,A,untruthful,933,6.8384,Constituent,Right,correct
L2,L2_27,A,rehydratable,1032,6.9393,Constituent,Left,correct
L2,L2_27,A,ungraceful,660,6.4922,Constituent,Right,correct
L2,L2_27,A,reattachable,682,6.525,Constituent,Left,correct
L2,L2_27,A,undeniable,889,6.7901,Unrelated,Right,correct
L2,L2_27,A,unbreakable,614,6.42,Constituent,Right,correct
L2,L2_27,A,unreadable,708,6.5624,Unrelated,Right,correct
L2,L2_27,A,unsharpness,860,6.7569,Constituent,Left,correct
L2,L2_27,A,unholiness,1268,7.1452,Constituent,Left,incorrect
L2,L2_27,A,resellable,800,6.6846,Constituent,Left,correct
L2,L2_27,A,reobtainable,1200,7.0901,NonConstituent,Left,correct
L2,L2_27,A,reclosable,1085,6.9893,NonConstituent,Left,correct
L2,L2_27,A,unresentful,1104,7.0067,Unrelated,Right,correct
L2,L2_27,A,unwariness,1500,7.3132,NonConstituent,Left,incorrect
L2,L2_27,A,uneventful,0,NA,Unrelated,Right,incorrect
L2,L2_27,A,unmovable,617,6.4249,Constituent,Right,correct
L2,L2_27,A,unkindness,563,6.3333,NonConstituent,Left,correct
L2,L2_27,A,untouchable,539,6.2897,Constituent,Right,correct
L2,L2_27,A,reusable,834,6.7262,NonConstituent,Left,correct
L2,L2_27,A,unthankful,861,6.7581,Unrelated,Right,correct
L2,L2_27,A,uncleverness,760,6.6333,NonConstituent,Left,correct
L2,L2_27,A,unavoidable,671,6.5088,Unrelated,Right,correct
L2,L2_27,A,unripeness,645,6.4693,Unrelated,Left,incorrect
L2,L2_27,A,readjustable,1037,6.9441,Unrelated,Left,correct
L2,L2_27,A,resealable,1744,7.4639,Unrelated,Left,correct
L2,L2_27,A,unawareness,636,6.4552,Unrelated,Left,incorrect
L2,L2_27,A,unhappiness,554,6.3172,Unrelated,Left,correct
L2,L2_27,A,unskillful,579,6.3613,Constituent,Right,correct
L2,L2_27,A,recomputable,809,6.6958,Unrelated,Left,correct
L2,L2_28,B,readjustable,764,6.6386,Constituent,Left,correct
L2,L2_28,B,unhappiness,678,6.5191,Constituent,Left,correct
L2,L2_28,B,unawareness,573,6.3509,Constituent,Left,correct
L2,L2_28,B,untruthful,645,6.4693,Constituent,Right,correct
L2,L2_28,B,untouchable,600,6.3969,Constituent,Right,correct
L2,L2_28,B,recomputable,1123,7.0238,Constituent,Left,correct
L2,L2_28,B,resealable,503,6.2206,Constituent,Left,correct
L2,L2_28,B,unmovable,717,6.5751,Constituent,Right,correct
L2,L2_28,B,unripeness,789,6.6708,Constituent,Left,correct
L2,L2_28,B,unthankful,560,6.3279,Unrelated,Right,correct
L2,L2_28,B,unskillful,530,6.2729,Constituent,Right,correct
L2,L2_28,B,unavoidable,638,6.4583,Unrelated,Right,correct
L2,L2_28,B,unholiness,833,6.725,NonConstituent,Left,correct
L2,L2_28,B,unclearness,586,6.3733,NonConstituent,Left,correct
L2,L2_28,B,ungraceful,527,6.2672,Constituent,Right,correct
L2,L2_28,B,resellable,667,6.5028,NonConstituent,Left,correct
L2,L2_28,B,unsharpness,576,6.3561,NonConstituent,Left,correct
L2,L2_28,B,reattachable,693,6.541,NonConstituent,Left,correct
L2,L2_28,B,unbreakable,491,6.1964,Constituent,Right,correct
L2,L2_28,B,rehydratable,556,6.3208,NonConstituent,Left,correct
L2,L2_28,B,unreadable,636,6.4552,Unrelated,Right,correct
L2,L2_28,B,unkindness,691,6.5381,Unrelated,Left,correct
L2,L2_28,B,uneventful,555,6.319,Unrelated,Right,correct
L2,L2_28,B,uncleverness,617,6.4249,Unrelated,Left,correct
L2,L2_28,B,reclosable,790,6.672,Unrelated,Left,correct
L2,L2_28,B,undeniable,655,6.4846,Unrelated,Right,correct
L2,L2_28,B,unresentful,635,6.4536,Unrelated,Right,correct
L2,L2_28,B,reobtainable,929,6.8341,Unrelated,Left,correct
L2,L2_28,B,unwariness,986,6.8937,Unrelated,Left,correct
L2,L2_28,B,reusable,711,6.5667,Unrelated,Left,correct
L2,L2_29,C,unkindness,839,6.7322,Constituent,Left,correct
L2,L2_29,C,untruthful,1043,6.9499,Constituent,Right,correct
L2,L2_29,C,unwariness,0,NA,Constituent,Left,incorrect
L2,L2_29,C,unskillful,1118,7.0193,Constituent,Right,correct
L2,L2_29,C,reclosable,1332,7.1944,Constituent,Left,correct
L2,L2_29,C,reusable,771,6.6477,Constituent,Left,correct
L2,L2_29,C,uncleverness,1554,7.3486,Constituent,Left,correct
L2,L2_29,C,reobtainable,1167,7.0622,Constituent,Left,correct
L2,L2_29,C,unripeness,988,6.8957,NonConstituent,Left,correct
L2,L2_29,C,uneventful,1343,7.2027,Unrelated,Right,correct
L2,L2_29,C,untouchable,676,6.5162,Constituent,Right,correct
L2,L2_29,C,recomputable,844,6.7382,NonConstituent,Left,correct
L2,L2_29,C,unhappiness,668,6.5043,NonConstituent,Left,correct
L2,L2_29,C,readjustable,899,6.8013,NonConstituent,Left,correct
L2,L2_29,C,resealable,894,6.7957,NonConstituent,Left,correct
L2,L2_29,C,unmovable,1946,7.5735,Constituent,Right,incorrect
L2,L2_29,C,unawareness,0,NA,NonConstituent,Left,incorrect
L2,L2_29,C,unresentful,1232,7.1164,Unrelated,Right,correct
L2,L2_29,C,unthankful,1940,7.5704,Unrelated,Right,correct
L2,L2_29,C,unreadable,1213,7.1009,Unrelated,Right,correct
L2,L2_29,C,unsharpness,1413,7.2535,Unrelated,Left,correct
L2,L2_29,C,unclearness,1107,7.0094,Unrelated,Left,correct
L2,L2_29,C,unholiness,940,6.8459,Unrelated,Left,correct
L2,L2_29,C,ungraceful,997,6.9048,Constituent,Right,incorrect
L2,L2_29,C,reattachable,1046,6.9527,Unrelated,Left,correct
L2,L2_29,C,rehydratable,1258,7.1373,Unrelated,Left,incorrect
L2,L2_29,C,unavoidable,917,6.8211,Unrelated,Right,correct
L2,L2_29,C,resellable,1127,7.0273,Unrelated,Left,correct
L2,L2_29,C,unbreakable,714,6.5709,Constituent,Right,correct
L2,L2_29,C,undeniable,926,6.8309,Unrelated,Right,correct
L2,L2_30,D,rehydratable,1773,7.4804,Constituent,Left,correct
L2,L2_30,D,unreadable,878,6.7776,Constituent,Right,correct
L2,L2_30,D,unholiness,738,6.6039,Constituent,Left,correct
L2,L2_30,D,unsharpness,1099,7.0022,Constituent,Left,correct
L2,L2_30,D,untouchable,661,6.4938,Unrelated,Right,correct
L2,L2_30,D,resellable,607,6.4085,Constituent,Left,correct
L2,L2_30,D,unclearness,801,6.6859,Constituent,Left,correct
L2,L2_30,D,reattachable,741,6.608,Constituent,Left,correct
L2,L2_30,D,reobtainable,1287,7.1601,NonConstituent,Left,correct
L2,L2_30,D,unkindness,1082,6.9866,NonConstituent,Left,incorrect
L2,L2_30,D,undeniable,588,6.3767,Constituent,Right,correct
L2,L2_30,D,ungraceful,608,6.4102,Unrelated,Right,correct
L2,L2_30,D,reclosable,1121,7.022,NonConstituent,Left,correct
L2,L2_30,D,reusable,657,6.4877,NonConstituent,Left,correct
L2,L2_30,D,uneventful,670,6.5073,Constituent,Right,correct
L2,L2_30,D,uncleverness,655,6.4846,NonConstituent,Left,correct
L2,L2_30,D,unwariness,749,6.6187,NonConstituent,Left,correct
L2,L2_30,D,unskillful,768,6.6438,Unrelated,Right,correct
L2,L2_30,D,unhappiness,1091,6.9948,Unrelated,Left,correct
L2,L2_30,D,readjustable,0,NA,Unrelated,Left,incorrect
L2,L2_30,D,unresentful,538,6.2879,Constituent,Right,correct
L2,L2_30,D,unawareness,702,6.5539,Unrelated,Left,correct
L2,L2_30,D,resealable,1129,7.0291,Unrelated,Left,correct
L2,L2_30,D,unavoidable,619,6.4281,Constituent,Right,correct
L2,L2_30,D,recomputable,818,6.7069,Unrelated,Left,correct
L2,L2_30,D,unthankful,562,6.3315,Constituent,Right,correct
L2,L2_30,D,unbreakable,559,6.3261,Unrelated,Right,correct
L2,L2_30,D,untruthful,571,6.3474,Unrelated,Right,correct
L2,L2_30,D,unmovable,629,6.4441,Unrelated,Right,correct
L2,L2_30,D,unripeness,532,6.2766,Unrelated,Left,incorrect
L2,L2_31,E,untruthful,1006,6.9137,Unrelated,Right,correct
L2,L2_31,E,unresentful,926,6.8309,Constituent,Right,correct
L2,L2_31,E,unthankful,893,6.7946,Constituent,Right,correct
L2,L2_31,E,untouchable,842,6.7358,Unrelated,Right,correct
L2,L2_31,E,resealable,1051,6.9575,Constituent,Left,correct
L2,L2_31,E,unripeness,996,6.9037,Constituent,Left,correct
L2,L2_31,E,unhappiness,634,6.452,Constituent,Left,correct
L2,L2_31,E,unskillful,801,6.6859,Unrelated,Right,correct
L2,L2_31,E,ungraceful,922,6.8265,Unrelated,Right,correct
L2,L2_31,E,recomputable,974,6.8814,Constituent,Left,correct
L2,L2_31,E,unawareness,600,6.3969,Constituent,Left,correct
L2,L2_31,E,readjustable,652,6.48,Constituent,Left,correct
L2,L2_31,E,reattachable,800,6.6846,NonConstituent,Left,correct
L2,L2_31,E,rehydratable,957,6.8638,NonConstituent,Left,correct
L2,L2_31,E,unsharpness,1088,6.9921,NonConstituent,Left,correct
L2,L2_31,E,unbreakable,727,6.5889,Unrelated,Right,correct
L2,L2_31,E,unclearness,873,6.7719,NonConstituent,Left,correct
L2,L2_31,E,resellable,1060,6.966,NonConstituent,Left,correct
L2,L2_31,E,unholiness,799,6.6834,NonConstituent,Left,correct
L2,L2_31,E,unmovable,800,6.6846,Unrelated,Right,correct
L2,L2_31,E,unkindness,959,6.8659,Unrelated,Left,correct
L2,L2_31,E,reusable,966,6.8732,Unrelated,Left,correct
L2,L2_31,E,unreadable,813,6.7007,Constituent,Right,correct
L2,L2_31,E,reobtainable,1338,7.1989,Unrelated,Left,correct
L2,L2_31,E,undeniable,658,6.4892,Constituent,Right,correct
L2,L2_31,E,reclosable,1416,7.2556,Unrelated,Left,incorrect
L2,L2_31,E,unavoidable,723,6.5834,Constituent,Right,correct
L2,L2_31,E,unwariness,1054,6.9603,Unrelated,Left,incorrect
L2,L2_31,E,uneventful,771,6.6477,Constituent,Right,correct
L2,L2_31,E,uncleverness,1416,7.2556,Unrelated,Left,correct
L2,L2_32,F,unwariness,867,6.765,Constituent,Left,correct
L2,L2_32,F,reclosable,1564,7.355,Constituent,Left,correct
L2,L2_32,F,unkindness,559,6.3261,Constituent,Left,correct
L2,L2_32,F,unthankful,682,6.525,Constituent,Right,correct
L2,L2_32,F,unresentful,1191,7.0825,Constituent,Right,correct
L2,L2_32,F,undeniable,676,6.5162,Constituent,Right,correct
L2,L2_32,F,reobtainable,1553,7.3479,Constituent,Left,incorrect
L2,L2_32,F,uneventful,877,6.7765,Constituent,Right,correct
L2,L2_32,F,reusable,646,6.4708,Constituent,Left,correct
L2,L2_32,F,unavoidable,1369,7.2218,Constituent,Right,correct
L2,L2_32,F,uncleverness,1159,7.0553,Constituent,Left,correct
L2,L2_32,F,unreadable,662,6.4953,Constituent,Right,correct
L2,L2_32,F,resealable,1724,7.4524,NonConstituent,Left,correct
L2,L2_32,F,unripeness,719,6.5779,NonConstituent,Left,correct
L2,L2_32,F,recomputable,1873,7.5353,NonConstituent,Left,correct
L2,L2_32,F,unhappiness,601,6.3986,NonConstituent,Left,correct
L2,L2_32,F,unawareness,585,6.3716,NonConstituent,Left,correct
L2,L2_32,F,readjustable,1016,6.9236,NonConstituent,Left,correct
L2,L2_32,F,unholiness,924,6.8287,Unrelated,Left,correct
L2,L2_32,F,unsharpness,1333,7.1952,Unrelated,Left,correct
L2,L2_32,F,ungraceful,620,6.4297,Unrelated,Right,correct
L2,L2_32,F,unclearness,0,NA,Unrelated,Left,incorrect
L2,L2_32,F,untruthful,797,6.6809,Unrelated,Right,correct
L2,L2_32,F,untouchable,647,6.4723,Unrelated,Right,correct
L2,L2_32,F,unmovable,1198,7.0884,Unrelated,Right,correct
L2,L2_32,F,unbreakable,661,6.4938,Unrelated,Right,correct
L2,L2_32,F,rehydratable,1348,7.2064,Unrelated,Left,correct
L2,L2_32,F,unskillful,1082,6.9866,Unrelated,Right,correct
L2,L2_32,F,reattachable,1004,6.9117,Unrelated,Left,correct
L2,L2_32,F,resellable,822,6.7117,Unrelated,Left,correct
L2,L2_33,A,unholiness,788,6.6695,Constituent,Left,incorrect
